"","ENFORCEMENT_ACTION.PWSID","ENFORCEMENT_ACTION.ENFORCEMENT_ID","ENFORCEMENT_ACTION.ORIGINATOR_CODE","ENFORCEMENT_ACTION.ENFORCEMENT_DATE","ENFORCEMENT_ACTION.ENFORCEMENT_ACTION_TYPE_CODE","ENFORCEMENT_ACTION.ENFORCEMENT_COMMENT_TEXT","X"
"199","PA5040007","170877142003","S","23-JAN-17","SIA",NA,NA
"200","PA5040007","170877143003","S","27-JAN-17","SFJ",NA,NA
"201","PA5040007","170877144003","S","27-JAN-17","SIE",NA,NA
"202","PA5040007","170877145003","S","21-JUN-17","SIF",NA,NA
"203","PA5040007","170877146003","S","21-JUN-17","SOX",NA,NA
"204","PA5040007","171249144066","S","27-JAN-17","SOX",NA,NA
"205","PA5040007","171602942121","S","18-APR-17","SFL",NA,NA
"206","PA5040007","171602943121","S","18-APR-17","SIE",NA,NA
"207","PA5040007","171602944121","S","18-APR-17","SIF",NA,NA
"208","PA5040007","171602945121","S","18-APR-17","SOX",NA,NA
"209","PA5040007","171846542071","S","28-APR-17","SIA",NA,NA
"210","PA5040007","171846544071","S","01-MAY-17","SOX",NA,NA
"211","PA5040007","172725542103","S","24-JUL-17","SFJ",NA,NA
"212","PA5040007","172725543103","S","04-AUG-17","SIA",NA,NA
"213","PA5040007","172725545103","S","22-AUG-17","SOX",NA,NA
"214","PA5040007","174291937007","S","30-NOV-16","SOX",NA,NA
"215","PA5040007","174292036008","S","25-OCT-16","SFJ",NA,NA
"216","PA5040007","174292037008","S","25-OCT-16","SIE",NA,NA
"217","PA5040007","174292038008","S","01-NOV-16","SID",NA,NA
"218","PA5040007","174292040008","S","01-NOV-16","SOX",NA,NA
"219","PA5040007","182340948011","S","10-AUG-18","SFJ",NA,NA
"220","PA5040007","182340949011","S","10-AUG-18","SIE",NA,NA
"221","PA5040007","182340950011","S","15-AUG-18","SIA",NA,NA
"222","PA5040007","182340951011","S","10-SEP-18","SOX",NA,NA
"223","PA5040007","192341149013","S","24-OCT-18","SOX",NA,NA
